"Order","Ordinal","Label","Question Text","Datatype","Format","Mapping","Completion","Note","Terminology"
"216","5","39. Complete household chores adequately as he/she used to perform in the past","","","","","","",""
"217","1","Mapping 1","","","","QSTESTCD=""DAITM39""","","",""
"218","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"219","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
"220","4","Effective Performance","Effective Performance","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0)"
"221","6","40. Stay safely at home by himself/herself when needed","","","","","","",""
"222","1","Mapping 1","","","","QSTESTCD=""DAITM40""","","",""
"223","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"224","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"225","4","Effective Performance","Effective Performance","string","20","QSORRES","","","N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
